District,DistrictC,Salary Totals,Average Salary,FTE Count
Tantasqua,7700000,11303192,86087,131
Taunton,2930000,46842415,88182,531
Tewksbury,2950000,21857938,86532,253
Tisbury,2960000,3936700,98912,40
Topsfield,2980000,5084973,91292,56
Tri-County Regional Vocational Technical,8780000,8289758,93988,88
Triton,7730000,16446092,84556,195
Truro,3000000,1354326,95375,14
Tyngsborough,3010000,10849615,87356,124
UP Academy Charter School of Boston (District),4800000,2744897,89097,31
UP Academy Charter School of Dorchester (District),35050000,4332467,110522,39
Up-Island Regional,7740000,4670694,93414,50
Upper Cape Cod Regional Vocational Technical,8790000,6101750,77532,79
Uxbridge,3040000,10650705,78836,135
Veritas Preparatory Charter School (District),4980000,2521196,78787,32
Wachusett,7750000,38556190,85000,454
Wakefield,3050000,22785638,85789,266
Wales,3060000,800219,84234,10
Walpole,3070000,23997894,84948,283
Waltham,3080000,47079599,93006,506
Ware,3090000,6458928,72900,89
Wareham,3100000,14744655,85725,172
Watertown,3140000,22758594,87668,260
Wayland,3150000,24141190,105651,229
Webster,3160000,10343136,77826,133
Wellesley,3170000,42357181,100778,420
Wellfleet,3180000,1131585,74446,15
West Boylston,3220000,6872489,79267,87
West Bridgewater,3230000,7918772,81135,98
West Springfield,3320000,24365256,75225,324
Westborough,3210000,27186397,80888,336
Westfield,3250000,31064387,75107,414
Westford,3260000,32274546,93549,345
Westhampton,3270000,910673,58753,16
Weston,3300000,19906740,110901,180
Westport,3310000,9584069,81636,117
Westwood,3350000,24115421,99445,243
Weymouth,3360000,40726588,95490,427
Whately,3370000,827853,65703,13
Whitman-Hanson,7800000,22051296,89567,246
Whittier Regional Vocational Technical,8850000,10139320,95654,106
Williamsburg,3400000,1192998,68959,17
Wilmington,3420000,23437337,87160,269
Winchendon,3430000,6506371,83522,78
Winchester,3440000,31188348,89442,349
Winthrop,3460000,11547972,76884,150
Woburn,3470000,32234181,89168,362
Worcester,3480000,171799156,93339,1841
Worthington,3490000,322221,43543,7
Wrentham,3500000,6481188,87348,74
State Totals,0,6461729083,86118,75033
