District,DistrictCode,IDE,TotalEmployees,EPP,Total,Pupils,TotalEPP
Holland,1350000,3455246,231,14938,4094709,241,16969
Holliston,1360000,43588232,2837,15364,47942455,2941,16300
Holyoke,1370000,115685724,5145,22487,141421653,6396,22110
Holyoke Community Charter (District),4530000,11767182,648,18164,11767182,648,18164
Hoosac Valley Regional,6030000,20171050,1019,19791,22283636,1243,17927
Hopedale,1380000,18040488,1122,16075,19736003,1179,16747
Hopkinton,1390000,63383095,4050,15652,66548973,4114,16177
Hudson,1410000,48218059,2402,20073,55519890,2676,20745
Hull,1420000,21206272,804,26366,23661295,851,27794
Innovation Academy Charter (District),4350000,12296855,768,16008,12296855,768,16008
Ipswich,1440000,33581897,1642,20452,35524883,1699,20914
KIPP Academy Boston Charter School (District),4630000,11932310,601,19866,11932310,601,19866
KIPP Academy Lynn Charter (District),4290000,30525262,1607,19000,30525262,1607,19000
King Philip,6900000,34938218,1895,18434,42441361,1973,21517
Kingston,1450000,14348715,1067,13454,18669081,1122,16645
Lawrence,1490000,252754712,13177,19182,297905756,15281,19495
Lawrence Family Development Charter (District),4540000,12087038,795,15204,12087038,795,15204
Learning First Charter Public School (District),4860000,11189361,667,16774,11189361,667,16774
Lee,1500000,14838720,662,22429,15854949,772,20538
Leicester,1510000,21397546,1409,15190,26096717,1590,16409
Lenox,1520000,16599918,733,22640,17104268,778,21991
Leominster,1530000,90303759,5970,15127,101451285,6376,15911
Leverett,1540000,2983437,142,21025,3229290,154,20983
Lexington,1550000,146359765,6855,21352,158508297,6972,22737
Libertas Academy Charter School (District),35140000,7026428,323,21733,7026428,323,21733
Lincoln,1570000,31345784,1063,29477,33579964,1098,30586
Lincoln-Sudbury,6950000,31907797,1507,21167,38465870,1576,24401
Littleton,1580000,28429658,1650,17231,32242689,1760,18317
Longmeadow,1590000,47116015,2824,16683,50620295,2873,17619
Lowell,1600000,259854944,14210,18287,302509284,16604,18219
Lowell Community Charter Public (District),4560000,13473282,817,16484,13473282,817,16484
Lowell Middlesex Academy Charter (District),4580000,1423573,91,15656,1423573,91,15656
Ludlow,1610000,43952822,2349,18712,48120337,2470,19480
Lunenburg,1620000,25393135,1600,15873,27364372,1725,15864
Lynn,1630000,278648462,15975,17443,325363918,18214,17864
Lynnfield,1640000,38823604,2186,17761,41025496,2223,18455
MATCH Charter Public School (District),4690000,28299622,1209,23410,28299622,1209,23410
Malden,1650000,103789971,6244,16622,123214012,7070,17428
Manchester Essex Regional,6980000,28134235,1258,22364,30388699,1296,23457
Mansfield,1670000,67023856,3459,19375,73234820,3585,20429
Map Academy Charter School (District),35170000,4203691,224,18792,4203691,224,18792
Marblehead,1680000,52561040,2621,20052,58927322,2790,21119
Marblehead Community Charter Public (District),4640000,3453965,227,15214,3453965,227,15214
Marion,1690000,8030040,409,19648,8755061,423,20722
Marlborough,1700000,87067178,4901,17766,101093590,5584,18104
Marshfield,1710000,59472125,3826,15543,65114317,3935,16550
Martha's Vineyard,7000000,23894101,710,33658,27457332,760,36128
Martha's Vineyard Charter (District),4660000,5860388,175,33568,5860388,175,33568
Martin Luther King Jr. Charter School of Excellence (District),4920000,5998110,357,16798,5998110,357,16798
Masconomet,7050000,34698581,1633,21252,39313299,1706,23051
Mashpee,1720000,31817210,1468,21677,35009689,1626,21534
Mattapoisett,1730000,9485370,426,22282,10389038,433,23988
Maynard,1740000,26737702,1200,22283,31618509,1373,23022
Medfield,1750000,45631146,2533,18018,48095732,2562,18770
Medford,1760000,86326826,4140,20851,99287915,4646,21372
Medway,1770000,37447561,2123,17643,41258545,2226,18537
Melrose,1780000,55859852,3848,14517,64746197,4166,15540
Mendon-Upton,7100000,38984485,2158,18067,43230451,2267,19073
Methuen,1810000,102816050,6553,15691,120609836,6995,17244
Middleborough,1820000,49088272,3061,16035,53880962,3240,16632
Middleton,1840000,13863405,709,19551,14427662,719,20061
Milford,1850000,75516730,4435,17026,84868510,4859,17465
Millbury,1860000,29587500,1622,18244,32878025,1713,19191
Millis,1870000,23101904,1181,19570,24951051,1232,20251
Milton,1890000,72057052,4386,16429,78208793,4454,17559
Minuteman Regional Vocational Technical,8300000,22471114,655,34307,22488339,658,34177
Mohawk Trail,7170000,20423914,769,26569,23185869,952,24345
Monomoy Regional School District,7120000,39269662,1771,22174,42359277,1956,21656
Monson,1910000,16859396,843,19997,19218755,949,20262
Montachusett Regional Vocational Technical,8320000,32856285,1409,23322,33201431,1462,22714
Mount Greylock,7150000,22600104,1160,19490,23506595,1218,19307
Mystic Valley Regional Charter (District),4700000,22481835,1587,14167,22481835,1587,14167
Nahant,1960000,2770907,168,16474,4918947,269,18272
Nantucket,1970000,44815935,1692,26482,45999809,1705,26976
Narragansett,7200000,21101743,1403,15043,23835726,1546,15419
