District,District Code,Subject,M+E #,M+E %,E #,E %,M #,M %,PM #,PM %,NM #,NM %,No. of Students Included,Part. Rate %,Score,SGP,Included In SGP,Rank,County,PCI,MHI,MFI,Households,Population,DistrictC,Avg. Scaled Score,Salary Totals,Average Salary,FTE Count
Wakefield,3050000,ELA,818,53,103,7,715,46,574,37,151,10,1543,97,500,36,974,118,Middlesex,51645,78884,106466,10849,27041,3050000,500,22785638,85789,266
Easton,880000,ELA,922,58,160,10,762,48,551,35,119,7,1592,96,504,38,1061,102,Bristol,53994,112116,148924,8993,24962,880000,504,21415739,86598,247
Norwood,2200000,ELA,652,44,88,6,564,38,609,41,234,16,1495,98,495,31,859,57,Norfolk,54645,96414,120146,13002,31256,2200000,495,25521233,85184,300
Stoughton,2850000,ELA,638,41,70,5,568,37,697,45,207,13,1542,98,493,32,967,212,Norfolk,44380,94823,114453,11277,29028,2850000,495,26550116,88471,300
Danvers,710000,ELA,733,50,115,8,618,42,586,40,158,11,1477,93,495,35,926,139,Essex,49862,105654,122147,10964,27966,710000,499,23334558,92451,252
Tewksbury,2950000,ELA,836,56,149,10,687,46,528,35,136,9,1500,99,495,44,929,107,Middlesex,50133,111696,131781,12025,31153,2950000,502,21857938,86532,253
Mansfield,1670000,ELA,939,60,120,8,819,52,501,32,129,8,1569,99,504,41,1018,55,Bristol,55451,122274,143500,8707,23768,1670000,503,27020092,91284,296
Agawam,50000,ELA,567,43,67,5,500,38,579,44,171,13,1317,83,492,32,776,230,Hampden,42754,78619,104743,11785,28715,50000,496,26272816,85887,306
Canton,500000,ELA,890,60,166,11,724,49,460,31,125,8,1475,98,504,38,926,44,Norfolk,66512,83992,118750,10002,24122,500000,504,22903929,93030,246
Grafton,1100000,ELA,837,58,130,9,707,49,486,34,125,9,1448,95,502,40,948,112,Worcester,52350,107237,134459,7468,19540,1100000,503,19752120,78413,252
North Middlesex,7350000,ELA,734,52,116,8,618,44,533,38,151,11,1418,98,493,38,908,NA,,47963,118278,129679,21156,56855,7350000,500,18889999,77865,243
Falmouth,960000,ELA,797,55,173,12,624,43,491,34,161,11,1449,98,498,43,909,84,Middlesex,57906,110372,142171,18943,32526,960000,502,25901892,88493,293
Nashoba,7250000,ELA,959,66,209,14,750,52,419,29,74,5,1452,99,504,39,946,NA,,55118,138138,150779,7317,21164,7250000,508,22447099,84578,265
Middleborough,1820000,ELA,568,43,68,5,500,38,531,40,214,16,1313,92,493,36,835,219,Plymouth,43754,81809,92684,9727,24219,1820000,495,17710437,77882,227
Freetown-Lakeville,6650000,ELA,617,50,97,8,520,42,490,40,133,11,1240,94,499,36,774,NA,,46154,111158,124250,7531,20679,6650000,499,15504327,77990,199
Wilmington,3420000,ELA,755,56,87,6,668,50,477,35,114,8,1346,93,501,35,870,106,Middlesex,53283,117909,143614,13808,36271,3420000,501,23437337,87160,269
Dennis-Yarmouth,6450000,ELA,521,40,72,6,449,35,549,42,226,17,1296,96,488,41,758,NA,,57208,115745,134572,17693,39554,6450000,494,23886410,88109,271
Concord,670000,ELA,938,70,200,15,738,55,344,26,60,4,1342,98,509,37,828,12,Middlesex,87603,70000,118750,6722,18424,670000,509,18533618,108511,171
Westwood,3350000,ELA,991,75,330,25,661,50,271,21,54,4,1316,99,511,44,852,28,Norfolk,75396,171071,204657,5424,16066,3350000,515,24115421,99445,243
Ashland,140000,ELA,740,58,156,12,584,46,406,32,134,10,1280,98,505,44,789,82,Middlesex,59092,115959,146923,7587,18646,140000,503,17508149,84499,207
Scituate,2640000,ELA,789,64,160,13,629,51,372,30,66,5,1227,98,505,36,790,36,Plymouth,70543,72904,96979,7549,19016,2640000,507,22018561,91325,241
Gloucester,1070000,ELA,540,44,83,7,457,37,515,41,186,15,1241,99,491,34,769,85,Essex,57613,140192,149911,13168,29814,1070000,496,23092752,86360,267
Wayland,3150000,ELA,910,73,207,17,703,57,293,24,36,3,1239,96,515,44,744,14,Middlesex,86947,203789,234051,4779,13859,3150000,511,24141190,105651,229
Holliston,1360000,ELA,817,61,139,10,678,51,418,31,99,7,1334,98,506,45,858,42,Middlesex,66563,142348,166912,5485,14891,1360000,505,18184066,87172,209
Hanover,1220000,ELA,707,59,125,10,582,49,403,34,87,7,1197,99,504,43,769,58,Plymouth,59268,149048,165064,4744,14742,1220000,504,17699719,89078,199
